character_1,character_2,scene_duration,season_num,episode_num,episode_title,location,count_words_of_char_1,count_words_of_char_2
Gared,Waymar Royce,306,1,1,Winter Is Coming,The Wall,28,99
Gared,Will,332,1,1,Winter Is Coming,The Wall,28,119
Waymar Royce,Will,276,1,1,Winter Is Coming,The Wall,99,119
Will,Wight Wildling Girl,17,1,1,Winter Is Coming,North of the Wall,119,0
Gared,White Walker,79,1,1,Winter Is Coming,North of the Wall,28,0
Waymar Royce,White Walker,23,1,1,Winter Is Coming,North of the Wall,99,0
Will,White Walker,56,1,1,Winter Is Coming,North of the Wall,119,0
Will,Jon Snow,374,1,1,Winter Is Coming,The North,119,12104
Will,Bran Stark,374,1,1,Winter Is Coming,The North,119,3162
Will,Robb Stark,374,1,1,Winter Is Coming,The North,119,3920
Will,Eddard Stark,374,1,1,Winter Is Coming,The North,119,3511
Will,Catelyn Stark,191,1,1,Winter Is Coming,The North,119,3486
Will,Rickon Stark,191,1,1,Winter Is Coming,The North,119,124
Will,Sansa Stark,191,1,1,Winter Is Coming,The North,119,8796
Will,Arya Stark,191,1,1,Winter Is Coming,The North,119,6329
Will,Theon Greyjoy,374,1,1,Winter Is Coming,The North,119,5363
Will,Rodrik Cassel,374,1,1,Winter Is Coming,The North,119,372
Will,Septa Mordane,191,1,1,Winter Is Coming,The North,119,323
Jon Snow,Bran Stark,894,1,1,Winter Is Coming,The North,12104,3162
Jon Snow,Robb Stark,587,1,1,Winter Is Coming,The North,12104,3920
Jon Snow,Eddard Stark,894,1,1,Winter Is Coming,The North,12104,3511
Jon Snow,Catelyn Stark,528,1,1,Winter Is Coming,The North,12104,3486
Jon Snow,Rickon Stark,528,1,1,Winter Is Coming,The North,12104,124
Jon Snow,Sansa Stark,528,1,1,Winter Is Coming,The North,12104,8796
Jon Snow,Arya Stark,528,1,1,Winter Is Coming,The North,12104,6329
Jon Snow,Theon Greyjoy,924,1,1,Winter Is Coming,The North,12104,5363
Jon Snow,Rodrik Cassel,894,1,1,Winter Is Coming,The North,12104,372
Jon Snow,Septa Mordane,191,1,1,Winter Is Coming,The North,12104,323
Bran Stark,Robb Stark,635,1,1,Winter Is Coming,The North,3162,3920
Bran Stark,Eddard Stark,972,1,1,Winter Is Coming,The North,3162,3511
Bran Stark,Catelyn Stark,528,1,1,Winter Is Coming,The North,3162,3486
Bran Stark,Rickon Stark,528,1,1,Winter Is Coming,The North,3162,124
Bran Stark,Sansa Stark,528,1,1,Winter Is Coming,The North,3162,8796
Bran Stark,Arya Stark,528,1,1,Winter Is Coming,The North,3162,6329
Bran Stark,Theon Greyjoy,972,1,1,Winter Is Coming,The North,3162,5363
Bran Stark,Rodrik Cassel,894,1,1,Winter Is Coming,The North,3162,372
Bran Stark,Septa Mordane,191,1,1,Winter Is Coming,The North,3162,323
Robb Stark,Eddard Stark,829,1,1,Winter Is Coming,The North,3920,3511
Robb Stark,Catelyn Stark,385,1,1,Winter Is Coming,The North,3920,3486
Robb Stark,Rickon Stark,191,1,1,Winter Is Coming,The North,3920,124
Robb Stark,Sansa Stark,385,1,1,Winter Is Coming,The North,3920,8796
Robb Stark,Arya Stark,385,1,1,Winter Is Coming,The North,3920,6329
Robb Stark,Theon Greyjoy,859,1,1,Winter Is Coming,The North,3920,5363
Robb Stark,Rodrik Cassel,751,1,1,Winter Is Coming,The North,3920,372
Robb Stark,Septa Mordane,191,1,1,Winter Is Coming,The North,3920,323
Eddard Stark,Catelyn Stark,1021,1,1,Winter Is Coming,The North,3511,3486
Eddard Stark,Rickon Stark,528,1,1,Winter Is Coming,The North,3511,124
Eddard Stark,Sansa Stark,722,1,1,Winter Is Coming,The North,3511,8796
Eddard Stark,Arya Stark,722,1,1,Winter Is Coming,The North,3511,6329
Eddard Stark,Theon Greyjoy,1166,1,1,Winter Is Coming,The North,3511,5363
Eddard Stark,Rodrik Cassel,1088,1,1,Winter Is Coming,The North,3511,372
Eddard Stark,Septa Mordane,191,1,1,Winter Is Coming,The North,3511,323
Catelyn Stark,Rickon Stark,528,1,1,Winter Is Coming,The North,3486,124
Catelyn Stark,Sansa Stark,773,1,1,Winter Is Coming,The North,3486,8796
Catelyn Stark,Arya Stark,722,1,1,Winter Is Coming,The North,3486,6329
Catelyn Stark,Theon Greyjoy,722,1,1,Winter Is Coming,The North,3486,5363
Catelyn Stark,Rodrik Cassel,745,1,1,Winter Is Coming,The North,3486,372
Catelyn Stark,Septa Mordane,191,1,1,Winter Is Coming,The North,3486,323
Rickon Stark,Sansa Stark,528,1,1,Winter Is Coming,The North,124,8796
Rickon Stark,Arya Stark,528,1,1,Winter Is Coming,The North,124,6329
Rickon Stark,Theon Greyjoy,528,1,1,Winter Is Coming,The North,124,5363
Rickon Stark,Rodrik Cassel,528,1,1,Winter Is Coming,The North,124,372
Rickon Stark,Septa Mordane,191,1,1,Winter Is Coming,The North,124,323
Sansa Stark,Arya Stark,722,1,1,Winter Is Coming,The North,8796,6329
Sansa Stark,Theon Greyjoy,722,1,1,Winter Is Coming,The North,8796,5363
Sansa Stark,Rodrik Cassel,722,1,1,Winter Is Coming,The North,8796,372
Sansa Stark,Septa Mordane,191,1,1,Winter Is Coming,The North,8796,323
Arya Stark,Theon Greyjoy,722,1,1,Winter Is Coming,The North,6329,5363
Arya Stark,Rodrik Cassel,722,1,1,Winter Is Coming,The North,6329,372
Arya Stark,Septa Mordane,191,1,1,Winter Is Coming,The North,6329,323
Theon Greyjoy,Rodrik Cassel,1088,1,1,Winter Is Coming,The North,5363,372
Theon Greyjoy,Septa Mordane,191,1,1,Winter Is Coming,The North,5363,323
Rodrik Cassel,Septa Mordane,191,1,1,Winter Is Coming,The North,372,323
Will,Jory Cassel,183,1,1,Winter Is Coming,The North,119,241
Eddard Stark,Jory Cassel,703,1,1,Winter Is Coming,The North,3511,241
Robb Stark,Jory Cassel,366,1,1,Winter Is Coming,The North,3920,241
Theon Greyjoy,Jory Cassel,703,1,1,Winter Is Coming,The North,5363,241
Bran Stark,Jory Cassel,703,1,1,Winter Is Coming,The North,3162,241
Rodrik Cassel,Jory Cassel,703,1,1,Winter Is Coming,The North,372,241
Jory Cassel,Jon Snow,703,1,1,Winter Is Coming,The North,241,12104
Jon Snow,Grey Wind,183,1,1,Winter Is Coming,The North,12104,0
Jon Snow,Lady,183,1,1,Winter Is Coming,The North,12104,0
Jon Snow,Nymeria,183,1,1,Winter Is Coming,The North,12104,0
Jon Snow,Summer,520,1,1,Winter Is Coming,The North,12104,0
Jon Snow,Shaggydog,183,1,1,Winter Is Coming,The North,12104,0
Jon Snow,Ghost,183,1,1,Winter Is Coming,The North,12104,0
Eddard Stark,Grey Wind,183,1,1,Winter Is Coming,The North,3511,0
Eddard Stark,Lady,183,1,1,Winter Is Coming,The North,3511,0
Eddard Stark,Nymeria,183,1,1,Winter Is Coming,The North,3511,0
Eddard Stark,Summer,598,1,1,Winter Is Coming,The North,3511,0
Eddard Stark,Shaggydog,183,1,1,Winter Is Coming,The North,3511,0
Eddard Stark,Ghost,183,1,1,Winter Is Coming,The North,3511,0
Theon Greyjoy,Grey Wind,183,1,1,Winter Is Coming,The North,5363,0
Theon Greyjoy,Lady,183,1,1,Winter Is Coming,The North,5363,0
Theon Greyjoy,Nymeria,183,1,1,Winter Is Coming,The North,5363,0
Theon Greyjoy,Summer,598,1,1,Winter Is Coming,The North,5363,0
Theon Greyjoy,Shaggydog,183,1,1,Winter Is Coming,The North,5363,0
Theon Greyjoy,Ghost,183,1,1,Winter Is Coming,The North,5363,0
Bran Stark,Grey Wind,183,1,1,Winter Is Coming,The North,3162,0
Bran Stark,Lady,183,1,1,Winter Is Coming,The North,3162,0
Bran Stark,Nymeria,183,1,1,Winter Is Coming,The North,3162,0
Bran Stark,Summer,709,1,1,Winter Is Coming,The North,3162,0
Bran Stark,Shaggydog,183,1,1,Winter Is Coming,The North,3162,0
Bran Stark,Ghost,183,1,1,Winter Is Coming,The North,3162,0
Robb Stark,Grey Wind,183,1,1,Winter Is Coming,The North,3920,0
Robb Stark,Lady,183,1,1,Winter Is Coming,The North,3920,0
Robb Stark,Nymeria,183,1,1,Winter Is Coming,The North,3920,0
Robb Stark,Summer,261,1,1,Winter Is Coming,The North,3920,0
Robb Stark,Shaggydog,183,1,1,Winter Is Coming,The North,3920,0
Robb Stark,Ghost,183,1,1,Winter Is Coming,The North,3920,0
Rodrik Cassel,Grey Wind,183,1,1,Winter Is Coming,The North,372,0
Rodrik Cassel,Lady,183,1,1,Winter Is Coming,The North,372,0
Rodrik Cassel,Nymeria,183,1,1,Winter Is Coming,The North,372,0
Rodrik Cassel,Summer,520,1,1,Winter Is Coming,The North,372,0
Rodrik Cassel,Shaggydog,183,1,1,Winter Is Coming,The North,372,0
Rodrik Cassel,Ghost,183,1,1,Winter Is Coming,The North,372,0
Jory Cassel,Grey Wind,183,1,1,Winter Is Coming,The North,241,0
Jory Cassel,Lady,183,1,1,Winter Is Coming,The North,241,0
Jory Cassel,Nymeria,183,1,1,Winter Is Coming,The North,241,0
Jory Cassel,Summer,520,1,1,Winter Is Coming,The North,241,0
Jory Cassel,Shaggydog,183,1,1,Winter Is Coming,The North,241,0
Jory Cassel,Ghost,183,1,1,Winter Is Coming,The North,241,0
Grey Wind,Lady,183,1,1,Winter Is Coming,The North,0,0
Grey Wind,Nymeria,183,1,1,Winter Is Coming,The North,0,0
Grey Wind,Summer,183,1,1,Winter Is Coming,The North,0,0
Grey Wind,Shaggydog,183,1,1,Winter Is Coming,The North,0,0
Grey Wind,Ghost,183,1,1,Winter Is Coming,The North,0,0
Lady,Nymeria,183,1,1,Winter Is Coming,The North,0,0
Lady,Summer,183,1,1,Winter Is Coming,The North,0,0
Lady,Shaggydog,183,1,1,Winter Is Coming,The North,0,0
Lady,Ghost,183,1,1,Winter Is Coming,The North,0,0
Nymeria,Summer,183,1,1,Winter Is Coming,The North,0,0
Nymeria,Shaggydog,183,1,1,Winter Is Coming,The North,0,0
Nymeria,Ghost,183,1,1,Winter Is Coming,The North,0,0
Summer,Shaggydog,183,1,1,Winter Is Coming,The North,0,0
Summer,Ghost,183,1,1,Winter Is Coming,The North,0,0
Shaggydog,Ghost,183,1,1,Winter Is Coming,The North,0,0
Jon Arryn,Cersei Lannister,121,1,1,Winter Is Coming,The Crownlands,0,15111
Jon Arryn,Jaime Lannister,121,1,1,Winter Is Coming,The Crownlands,0,11515
Cersei Lannister,Jaime Lannister,763,1,1,Winter Is Coming,The Crownlands,15111,11515
Catelyn Stark,Maester Luwin,544,1,1,Winter Is Coming,The North,3486,1120
Bran Stark,Maester Luwin,337,1,1,Winter Is Coming,The North,3162,1120
Bran Stark,Joffrey Baratheon,337,1,1,Winter Is Coming,The North,3162,3303
Bran Stark,Sandor Clegane,415,1,1,Winter Is Coming,The North,3162,3829
